"Step","paper-pbt-combined-median-3278916-1 - fitness/mean","paper-pbt-combined-median-3278916-1 - fitness/mean__MIN","paper-pbt-combined-median-3278916-1 - fitness/mean__MAX"
"1","0.10484317615628243","0.10484317615628243","0.10484317615628243"
"2","0.5181126685192188","0.5181126685192188","0.5181126685192188"
"3","0.49538986446956795","0.49538986446956795","0.49538986446956795"
"4","0.5499030003945032","0.5499030003945032","0.5499030003945032"
"5","0.5008604461948077","0.5008604461948077","0.5008604461948077"
"6","0.3706292726099491","0.3706292726099491","0.3706292726099491"
"7","0.3842104698220889","0.3842104698220889","0.3842104698220889"
"8","0.3168588583668073","0.3168588583668073","0.3168588583668073"
"9","0.31440955189367137","0.31440955189367137","0.31440955189367137"
"10","0.3277824712296327","0.3277824712296327","0.3277824712296327"
"11","0.29322718307375906","0.29322718307375906","0.29322718307375906"
"12","0.2701183454444011","0.2701183454444011","0.2701183454444011"
"13","0.29965942179163296","0.29965942179163296","0.29965942179163296"
"14","0.294951556622982","0.294951556622982","0.294951556622982"
"15","0.2750828113406897","0.2750828113406897","0.2750828113406897"
"16","0.26111748330295087","0.26111748330295087","0.26111748330295087"
"17","0.2601636276890834","0.2601636276890834","0.2601636276890834"
"18","0.25931196523209415","0.25931196523209415","0.25931196523209415"
"19","0.26854024616380534","0.26854024616380534","0.26854024616380534"
"20","0.32785991082588833","0.32785991082588833","0.32785991082588833"
"21","0.28331378114720185","0.28331378114720185","0.28331378114720185"
"22","0.2742435928434134","0.2742435928434134","0.2742435928434134"
"23","0.2836499163260063","0.2836499163260063","0.2836499163260063"
"24","0.2615747097879648","0.2615747097879648","0.2615747097879648"
"25","0.28489028128484883","0.28489028128484883","0.28489028128484883"
"26","0.2979415763169527","0.2979415763169527","0.2979415763169527"
"27","0.2990991439670324","0.2990991439670324","0.2990991439670324"
"28","0.2795046086112658","0.2795046086112658","0.2795046086112658"
"29","0.3241697154939175","0.3241697154939175","0.3241697154939175"
"30","0.30893347362677254","0.30893347362677254","0.30893347362677254"
"31","0.33770399962862335","0.33770399962862335","0.33770399962862335"
"32","0.28596611867348354","0.28596611867348354","0.28596611867348354"
"33","0.28708504835764564","0.28708504835764564","0.28708504835764564"
"34","0.3244497422128916","0.3244497422128916","0.3244497422128916"
"35","0.34347198804219564","0.34347198804219564","0.34347198804219564"
"36","0.3485541140039762","0.3485541140039762","0.3485541140039762"
"37","0.31325160562992094","0.31325160562992094","0.31325160562992094"
"38","0.3620086540778478","0.3620086540778478","0.3620086540778478"
"39","0.308815635740757","0.308815635740757","0.308815635740757"
"40","0.3440553578237692","0.3440553578237692","0.3440553578237692"
"41","0.34587562071780364","0.34587562071780364","0.34587562071780364"
"42","0.3696908996750911","0.3696908996750911","0.3696908996750911"
"43","0.36075804171462855","0.36075804171462855","0.36075804171462855"
"44","0.36322903682788216","0.36322903682788216","0.36322903682788216"
"45","0.383057244370381","0.383057244370381","0.383057244370381"
"46","0.3201546620577574","0.3201546620577574","0.3201546620577574"
"47","0.47486476426323254","0.47486476426323254","0.47486476426323254"
"48","0.37777452915906906","0.37777452915906906","0.37777452915906906"
"49","0.3985557806988557","0.3985557806988557","0.3985557806988557"
"50","0.4103422753512859","0.4103422753512859","0.4103422753512859"
"51","0.3718562881151835","0.3718562881151835","0.3718562881151835"
"52","0.36950052753090856","0.36950052753090856","0.36950052753090856"
"53","0.5236048571765423","0.5236048571765423","0.5236048571765423"
"54","0.47278733005126317","0.47278733005126317","0.47278733005126317"
"55","0.3579803871611754","0.3579803871611754","0.3579803871611754"
"56","0.49525429668525855","0.49525429668525855","0.49525429668525855"
"57","0.40004031484325725","0.40004031484325725","0.40004031484325725"
"58","0.5010829930504163","0.5010829930504163","0.5010829930504163"
"59","0.5049604011078676","0.5049604011078676","0.5049604011078676"
"60","0.49197998518745106","0.49197998518745106","0.49197998518745106"
"61","0.3889093625048796","0.3889093625048796","0.3889093625048796"
"62","0.5014970816671849","0.5014970816671849","0.5014970816671849"
"63","0.5165402916570504","0.5165402916570504","0.5165402916570504"
"64","0.5321380496025085","0.5321380496025085","0.5321380496025085"
"65","0.5009279464681943","0.5009279464681943","0.5009279464681943"
"66","0.3957555640488863","0.3957555640488863","0.3957555640488863"
"67","0.5416530201832453","0.5416530201832453","0.5416530201832453"
"68","0.5372047958274683","0.5372047958274683","0.5372047958274683"
"69","0.39556860625743867","0.39556860625743867","0.39556860625743867"
"70","0.5156906038522721","0.5156906038522721","0.5156906038522721"
"71","0.40892532107730706","0.40892532107730706","0.40892532107730706"
"72","0.4464230207105478","0.4464230207105478","0.4464230207105478"
"73","0.511526171118021","0.511526171118021","0.511526171118021"
"74","0.43551233063141503","0.43551233063141503","0.43551233063141503"
"75","0.5212524232765039","0.5212524232765039","0.5212524232765039"
"76","0.6062393125146628","0.6062393125146628","0.6062393125146628"
"77","0.5652485040326913","0.5652485040326913","0.5652485040326913"
"78","0.5478246344874302","0.5478246344874302","0.5478246344874302"
"79","0.5564070197443167","0.5564070197443167","0.5564070197443167"
"80","0.5508203084270159","0.5508203084270159","0.5508203084270159"
"81","0.39910819257299107","0.39910819257299107","0.39910819257299107"
"82","0.37990198147793613","0.37990198147793613","0.37990198147793613"
"83","0.39243760965764524","0.39243760965764524","0.39243760965764524"
"84","0.3578161879132191","0.3578161879132191","0.3578161879132191"
"85","0.38921951279044154","0.38921951279044154","0.38921951279044154"
"86","0.4531312506645918","0.4531312506645918","0.4531312506645918"
"87","0.44211749657988547","0.44211749657988547","0.44211749657988547"
"88","0.47984217554330827","0.47984217554330827","0.47984217554330827"
"89","0.4283336194852988","0.4283336194852988","0.4283336194852988"
"90","0.44891585384806","0.44891585384806","0.44891585384806"
"91","0.599040879185001","0.599040879185001","0.599040879185001"
"92","0.5895865858842929","0.5895865858842929","0.5895865858842929"
"93","0.5867078752567371","0.5867078752567371","0.5867078752567371"
"94","0.587772329027454","0.587772329027454","0.587772329027454"
"95","0.5813007216900588","0.5813007216900588","0.5813007216900588"
"96","0.4415955958267053","0.4415955958267053","0.4415955958267053"
"97","0.42706352807581427","0.42706352807581427","0.42706352807581427"
"98","0.46584347561001777","0.46584347561001777","0.46584347561001777"
"99","0.4193947633107503","0.4193947633107503","0.4193947633107503"
"100","0.4267630785703659","0.4267630785703659","0.4267630785703659"
"101","0.5935037694871426","0.5935037694871426","0.5935037694871426"
"102","0.575465868661801","0.575465868661801","0.575465868661801"
"103","0.43591942054529986","0.43591942054529986","0.43591942054529986"
"104","0.5746328088144461","0.5746328088144461","0.5746328088144461"
"105","0.4189002729952335","0.4189002729952335","0.4189002729952335"
"106","0.5853089902549982","0.5853089902549982","0.5853089902549982"
"107","0.6067172513653835","0.6067172513653835","0.6067172513653835"
"108","0.5776007492095232","0.5776007492095232","0.5776007492095232"
"109","0.5447566802302997","0.5447566802302997","0.5447566802302997"
"110","0.5610216000427802","0.5610216000427802","0.5610216000427802"
"111","0.38848278199632963","0.38848278199632963","0.38848278199632963"
"112","0.39561823531985285","0.39561823531985285","0.39561823531985285"
"113","0.5234230024119219","0.5234230024119219","0.5234230024119219"
"114","0.5234676696360111","0.5234676696360111","0.5234676696360111"
"115","0.43414951538046204","0.43414951538046204","0.43414951538046204"
"116","0.5311493247747421","0.5311493247747421","0.5311493247747421"
"117","0.5713651485741138","0.5713651485741138","0.5713651485741138"
"118","0.5731940607229868","0.5731940607229868","0.5731940607229868"
"119","0.5531291378041109","0.5531291378041109","0.5531291378041109"
"120","0.5340298882375161","0.5340298882375161","0.5340298882375161"
"121","0.5518113262951374","0.5518113262951374","0.5518113262951374"
"122","0.5722000422577064","0.5722000422577064","0.5722000422577064"
"123","0.5603226443131765","0.5603226443131765","0.5603226443131765"
"124","0.5630807317793369","0.5630807317793369","0.5630807317793369"
"125","0.5259914048016071","0.5259914048016071","0.5259914048016071"
"126","0.5808885112404824","0.5808885112404824","0.5808885112404824"
"127","0.536087604239583","0.536087604239583","0.536087604239583"
"128","0.5509975818296273","0.5509975818296273","0.5509975818296273"
"129","0.5589793610076109","0.5589793610076109","0.5589793610076109"
"130","0.5225237516065439","0.5225237516065439","0.5225237516065439"
"131","0.5238100287814935","0.5238100287814935","0.5238100287814935"
"132","0.5375676186134418","0.5375676186134418","0.5375676186134418"
"133","0.5377589041988055","0.5377589041988055","0.5377589041988055"
"134","0.534374575316906","0.534374575316906","0.534374575316906"
"135","0.5720539157589276","0.5720539157589276","0.5720539157589276"
"136","0.5697867469241221","0.5697867469241221","0.5697867469241221"
"137","0.5748928867280483","0.5748928867280483","0.5748928867280483"
"138","0.5411116580168406","0.5411116580168406","0.5411116580168406"
"139","0.5120157084117333","0.5120157084117333","0.5120157084117333"
"140","0.548610657453537","0.548610657453537","0.548610657453537"
"141","0.5148078622917335","0.5148078622917335","0.5148078622917335"
"142","0.5029620985190074","0.5029620985190074","0.5029620985190074"
"143","0.5402032131950061","0.5402032131950061","0.5402032131950061"
"144","0.5356216198454301","0.5356216198454301","0.5356216198454301"
"145","0.5075639195740222","0.5075639195740222","0.5075639195740222"
"146","0.5402418067057927","0.5402418067057927","0.5402418067057927"
"147","0.5115244773526987","0.5115244773526987","0.5115244773526987"
"148","0.5327319947381814","0.5327319947381814","0.5327319947381814"
"149","0.5447668460508187","0.5447668460508187","0.5447668460508187"
"150","0.5339227773249149","0.5339227773249149","0.5339227773249149"
"151","0.5130349333087604","0.5130349333087604","0.5130349333087604"
"152","0.49426475341121356","0.49426475341121356","0.49426475341121356"
"153","0.5553705702225368","0.5553705702225368","0.5553705702225368"
"154","0.5218743942677975","0.5218743942677975","0.5218743942677975"
"155","0.5389508374035359","0.5389508374035359","0.5389508374035359"
"156","0.5312193468213081","0.5312193468213081","0.5312193468213081"
"157","0.5036058594783147","0.5036058594783147","0.5036058594783147"
"158","0.5189851860205332","0.5189851860205332","0.5189851860205332"
"159","0.4982010630269845","0.4982010630269845","0.4982010630269845"
"160","0.5027233973145485","0.5027233973145485","0.5027233973145485"
"161","0.5750940474371116","0.5750940474371116","0.5750940474371116"
"162","0.5678905880699555","0.5678905880699555","0.5678905880699555"
"163","0.5489955286184947","0.5489955286184947","0.5489955286184947"
"164","0.5671395073334377","0.5671395073334377","0.5671395073334377"
"165","0.5352287955582142","0.5352287955582142","0.5352287955582142"
"166","0.5693122747043768","0.5693122747043768","0.5693122747043768"
"167","0.5504044490555923","0.5504044490555923","0.5504044490555923"
"168","0.5698488156000773","0.5698488156000773","0.5698488156000773"
"169","0.5527852999667326","0.5527852999667326","0.5527852999667326"
"170","0.5329064565400282","0.5329064565400282","0.5329064565400282"
"171","0.5080189404388269","0.5080189404388269","0.5080189404388269"
"172","0.5488706804811955","0.5488706804811955","0.5488706804811955"
"173","0.5377711902062098","0.5377711902062098","0.5377711902062098"
"174","0.5333778927723567","0.5333778927723567","0.5333778927723567"
"175","0.5350093732277552","0.5350093732277552","0.5350093732277552"
"176","0.5384147703647614","0.5384147703647614","0.5384147703647614"
"177","0.5509748699764411","0.5509748699764411","0.5509748699764411"
"178","0.5468486448129019","0.5468486448129019","0.5468486448129019"
"179","0.5517962170143922","0.5517962170143922","0.5517962170143922"
"180","0.49846906065940855","0.49846906065940855","0.49846906065940855"
"181","0.5432547631363074","0.5432547631363074","0.5432547631363074"
"182","0.5340721527735393","0.5340721527735393","0.5340721527735393"
"183","0.5692890013257662","0.5692890013257662","0.5692890013257662"
"184","0.5459062111874421","0.5459062111874421","0.5459062111874421"
"185","0.5369923584163189","0.5369923584163189","0.5369923584163189"
"186","0.5262501068413258","0.5262501068413258","0.5262501068413258"
"187","0.5358918776114782","0.5358918776114782","0.5358918776114782"
"188","0.5062611510356267","0.5062611510356267","0.5062611510356267"
"189","0.5280034991602103","0.5280034991602103","0.5280034991602103"
"190","0.5470046550035477","0.5470046550035477","0.5470046550035477"
"191","0.5593538671731949","0.5593538671731949","0.5593538671731949"
"192","0.5814274579286576","0.5814274579286576","0.5814274579286576"
"193","0.5353846197326978","0.5353846197326978","0.5353846197326978"
"194","0.5855582858125369","0.5855582858125369","0.5855582858125369"
"195","0.5986467229823271","0.5986467229823271","0.5986467229823271"
"196","0.5045534081757068","0.5045534081757068","0.5045534081757068"
"197","0.5414858311414719","0.5414858311414719","0.5414858311414719"
"198","0.5308021719257037","0.5308021719257037","0.5308021719257037"
"199","0.5261324311296145","0.5261324311296145","0.5261324311296145"
"200","0.5574374159177145","0.5574374159177145","0.5574374159177145"
"201","0.5182372820874055","0.5182372820874055","0.5182372820874055"
"202","0.524508481969436","0.524508481969436","0.524508481969436"
"203","0.5632208940883477","0.5632208940883477","0.5632208940883477"
"204","0.5240491072336833","0.5240491072336833","0.5240491072336833"
"205","0.5669738528629144","0.5669738528629144","0.5669738528629144"
"206","0.5383636015156905","0.5383636015156905","0.5383636015156905"
"207","0.5442334113021692","0.5442334113021692","0.5442334113021692"
"208","0.527198526263237","0.527198526263237","0.527198526263237"
"209","0.5333024464547634","0.5333024464547634","0.5333024464547634"
"210","0.4929280422627926","0.4929280422627926","0.4929280422627926"
"211","0.5255673425892989","0.5255673425892989","0.5255673425892989"
"212","0.5285720159610112","0.5285720159610112","0.5285720159610112"
"213","0.5216708164662123","0.5216708164662123","0.5216708164662123"
"214","0.5545765799780686","0.5545765799780686","0.5545765799780686"
"215","0.5266816126803557","0.5266816126803557","0.5266816126803557"
"216","0.5072711169719696","0.5072711169719696","0.5072711169719696"
"217","0.4928434227903684","0.4928434227903684","0.4928434227903684"
"218","0.5055380433797836","0.5055380433797836","0.5055380433797836"
"219","0.49480257332324984","0.49480257332324984","0.49480257332324984"
"220","0.5162054936091105","0.5162054936091105","0.5162054936091105"
"221","0.5005599923431874","0.5005599923431874","0.5005599923431874"
"222","0.49829878062009814","0.49829878062009814","0.49829878062009814"
"223","0.4873313029607137","0.4873313029607137","0.4873313029607137"
"224","0.508453269302845","0.508453269302845","0.508453269302845"
"225","0.496217359850804","0.496217359850804","0.496217359850804"
"226","0.4967713018258413","0.4967713018258413","0.4967713018258413"
"227","0.517043736204505","0.517043736204505","0.517043736204505"
"228","0.5286264265576999","0.5286264265576999","0.5286264265576999"
"229","0.4806586111585299","0.4806586111585299","0.4806586111585299"
"230","0.47118686785300573","0.47118686785300573","0.47118686785300573"
"231","0.49469057396054267","0.49469057396054267","0.49469057396054267"
"232","0.49274509847164155","0.49274509847164155","0.49274509847164155"
"233","0.5139407845834891","0.5139407845834891","0.5139407845834891"
"234","0.48945876906315483","0.48945876906315483","0.48945876906315483"
"235","0.5113771339257558","0.5113771339257558","0.5113771339257558"
"236","0.5330283656716347","0.5330283656716347","0.5330283656716347"
"237","0.5056732860704263","0.5056732860704263","0.5056732860704263"
"238","0.5016037620604038","0.5016037620604038","0.5016037620604038"
"239","0.5336883619427681","0.5336883619427681","0.5336883619427681"
"240","0.5231108983357747","0.5231108983357747","0.5231108983357747"
"241","0.5434290210405985","0.5434290210405985","0.5434290210405985"
"242","0.49317027802268665","0.49317027802268665","0.49317027802268665"
"243","0.5118150825301806","0.5118150825301806","0.5118150825301806"
"244","0.53301002557079","0.53301002557079","0.53301002557079"
"245","0.5595360202093919","0.5595360202093919","0.5595360202093919"
"246","0.5359270177781582","0.5359270177781582","0.5359270177781582"
"247","0.5576501910885175","0.5576501910885175","0.5576501910885175"
"248","0.526616819947958","0.526616819947958","0.526616819947958"
"249","0.5683202306429546","0.5683202306429546","0.5683202306429546"
"250","0.55055776288112","0.55055776288112","0.55055776288112"
"251","0.4915514702598254","0.4915514702598254","0.4915514702598254"
"252","0.5365004422763984","0.5365004422763984","0.5365004422763984"
"253","0.5099667956431707","0.5099667956431707","0.5099667956431707"
"254","0.5014741567273935","0.5014741567273935","0.5014741567273935"
"255","0.5864198515812556","0.5864198515812556","0.5864198515812556"
"256","0.5234713291128477","0.5234713291128477","0.5234713291128477"
"257","0.5032536755005519","0.5032536755005519","0.5032536755005519"
"258","0.5224847324192524","0.5224847324192524","0.5224847324192524"
"259","0.5380571340521176","0.5380571340521176","0.5380571340521176"
"260","0.510797151674827","0.510797151674827","0.510797151674827"
"261","0.518992434690396","0.518992434690396","0.518992434690396"
"262","0.5204904769857724","0.5204904769857724","0.5204904769857724"
"263","0.55860279550155","0.55860279550155","0.55860279550155"
"264","0.5510891241331896","0.5510891241331896","0.5510891241331896"
"265","0.5245655645926793","0.5245655645926793","0.5245655645926793"
"266","0.5034239667157332","0.5034239667157332","0.5034239667157332"
"267","0.5140290136138598","0.5140290136138598","0.5140290136138598"
"268","0.5152176727851232","0.5152176727851232","0.5152176727851232"
"269","0.5018877888719241","0.5018877888719241","0.5018877888719241"
"270","0.5349884492655596","0.5349884492655596","0.5349884492655596"
"271","0.5094933224221071","0.5094933224221071","0.5094933224221071"
"272","0.5085597291588784","0.5085597291588784","0.5085597291588784"
"273","0.5352247901260853","0.5352247901260853","0.5352247901260853"
"274","0.5106183474262556","0.5106183474262556","0.5106183474262556"
"275","0.5386786629756292","0.5386786629756292","0.5386786629756292"
"276","0.5012100343902905","0.5012100343902905","0.5012100343902905"
"277","0.515318273504575","0.515318273504575","0.515318273504575"
"278","0.533739033093055","0.533739033093055","0.533739033093055"
"279","0.4954990535974503","0.4954990535974503","0.4954990535974503"
"280","0.5131515512863795","0.5131515512863795","0.5131515512863795"
"281","0.49668972690900165","0.49668972690900165","0.49668972690900165"
"282","0.539227336893479","0.539227336893479","0.539227336893479"
"283","0.49820243815581006","0.49820243815581006","0.49820243815581006"
"284","0.5135035917162896","0.5135035917162896","0.5135035917162896"
"285","0.5642612372835477","0.5642612372835477","0.5642612372835477"
"286","0.5225862982372443","0.5225862982372443","0.5225862982372443"
"287","0.4974590453008811","0.4974590453008811","0.4974590453008811"
"288","0.4830171858270963","0.4830171858270963","0.4830171858270963"
"289","0.5115096901853879","0.5115096901853879","0.5115096901853879"
"290","0.5125361318389575","0.5125361318389575","0.5125361318389575"
"291","0.5043485748271147","0.5043485748271147","0.5043485748271147"
"292","0.4822109262148539","0.4822109262148539","0.4822109262148539"
"293","0.5156437853972117","0.5156437853972117","0.5156437853972117"
"294","0.47479953890045484","0.47479953890045484","0.47479953890045484"
"295","0.47499188780784607","0.47499188780784607","0.47499188780784607"
"296","0.5104049456616243","0.5104049456616243","0.5104049456616243"
"297","0.49563551023602487","0.49563551023602487","0.49563551023602487"
"298","0.516978547970454","0.516978547970454","0.516978547970454"
"299","0.5033047837515672","0.5033047837515672","0.5033047837515672"
"300","0.493587139993906","0.493587139993906","0.493587139993906"
"301","0.49028121878703435","0.49028121878703435","0.49028121878703435"
